Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
strict-msa,1.00,2.00,0.80,0.20,4020,420,1656.60,2978,0,0.00,0,0.93,1.03,1.28,0.00
rooted-msa,1.00,2.00,0.80,0.20,4020,111,1695.90,3834,0,0.00,0,0.93,1.05,1.18,0.00
rooted-msa,1.00,2.00,0.80,0.30,4020,207,1647.90,3326,0,0.00,0,0.93,1.08,1.27,0.00
rooted-msa,1.00,2.00,0.80,0.10,4020,264,1538.70,3794,0,0.00,0,0.96,1.08,1.27,0.00
rooted-msa,1.00,2.00,0.80,0.50,4020,690,2527.10,3850,0,0.00,0,0.91,1.08,1.19,0.00
strict-msa,1.00,2.00,0.80,0.10,4020,161,1581.30,3583,0,0.00,0,0.87,1.10,1.21,0.00
rooted-msa,1.00,2.00,0.80,0.40,4020,304,1748.70,2903,0,0.00,0,0.98,1.10,1.19,0.00
strict-msa,1.00,2.00,0.80,0.30,4020,156,1577.00,3328,0,0.00,0,0.96,1.11,1.19,0.00
strict-msa,1.00,2.00,0.80,0.40,4020,149,1539.30,2763,0,0.00,0,0.94,1.14,1.46,0.00
rooted-msa,1.00,2.00,0.80,0.70,4020,1166,2367.80,3635,0,0.00,0,0.86,1.14,1.37,0.00
strict-msa,1.00,2.00,0.80,0.60,4020,699,2024.20,3815,0,0.00,0,0.94,1.16,1.34,0.00
strict-msa,1.00,2.00,0.80,0.50,4020,441,1728.00,3413,0,0.00,0,1.00,1.16,1.30,0.00
baseline,1.00,2.00,0.80,0.00,4020,365,1412.40,3311,0,0.00,0,1.07,1.17,1.30,0.00
rooted-msa,1.00,2.00,0.80,0.60,4020,704,1763.40,2645,0,0.00,0,0.82,1.19,1.44,0.00
rooted-msa,1.00,2.00,0.80,0.80,4020,1022,2709.10,3729,0,0.00,0,0.98,1.21,1.35,0.00
strict-msa,1.00,2.00,0.80,0.70,4020,1368,2562.10,3564,0,0.00,0,0.91,1.23,1.53,0.00
rooted-msa,1.00,2.00,0.80,0.90,4020,1055,2858.20,3589,0,0.00,0,0.98,1.25,1.44,0.00
rooted-msa,1.00,2.00,0.80,1.00,4020,2016,2988.70,3737,0,0.00,0,1.02,1.29,1.57,0.00
strict-msa,1.00,2.00,0.80,0.80,4020,1273,2473.60,3539,0,0.00,0,1.14,1.31,1.48,0.00
strict-msa,1.00,2.00,0.80,0.90,4020,1359,2531.20,3697,0,0.00,0,1.03,1.31,1.55,0.00
strict-msa,1.00,2.00,0.80,1.00,4020,1651,2945.90,3525,0,0.00,0,1.16,1.33,1.57,0.00
