Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
rooted-msa,1.00,2.00,0.80,0.40,2160,473,1160.50,2061,0,0.00,0,0.00,0.76,3.85,10.00
rooted-msa,1.00,2.00,0.80,0.10,2160,695,1390.90,1996,0,0.00,0,0.00,1.00,4.31,40.00
rooted-msa,1.00,2.00,0.80,0.50,2160,357,1289.20,2114,0,0.00,0,0.00,1.23,4.31,40.00
rooted-msa,1.00,2.00,0.80,0.20,2160,357,1369.90,2070,0,0.00,0,0.00,1.27,4.38,10.00
rooted-msa,1.00,2.00,0.80,0.80,2160,97,1090.00,1956,0,0.00,0,0.00,1.74,4.31,10.00
rooted-msa,1.00,2.00,0.80,0.60,2160,1331,1812.20,2146,0,0.00,0,0.00,1.79,4.38,20.00
rooted-msa,1.00,2.00,0.80,0.70,2160,210,768.40,1393,0,0.00,0,0.00,1.79,4.31,30.00
rooted-msa,1.00,2.00,0.80,1.00,2160,126,1218.30,1934,0,0.00,0,0.00,1.93,4.31,10.00
rooted-msa,1.00,2.00,0.80,0.30,2160,171,1013.80,1998,0,0.00,0,0.00,2.00,4.38,30.00
strict-msa,1.00,2.00,0.80,1.00,2160,629,1278.80,2158,0,0.00,0,0.00,2.12,4.35,20.00
baseline,1.00,2.00,0.80,0.00,2160,348,1425.60,2128,0,0.00,0,0.00,2.12,4.31,10.00
strict-msa,1.00,2.00,0.80,0.30,2160,423,882.20,1492,0,0.00,0,0.08,2.16,4.31,0.00
strict-msa,1.00,2.00,0.80,0.60,2160,269,996.10,1929,0,0.00,0,0.00,2.19,4.35,10.00
strict-msa,1.00,2.00,0.80,0.70,2160,381,1355.80,1859,0,0.00,0,0.00,2.23,4.35,20.00
strict-msa,1.00,2.00,0.80,0.80,2160,187,1251.20,2067,0,0.00,0,0.08,2.50,4.38,0.00
rooted-msa,1.00,2.00,0.80,0.90,2160,240,1300.50,2070,0,0.00,0,0.08,2.52,4.31,0.00
strict-msa,1.00,2.00,0.80,0.90,2160,303,859.40,1532,0,0.00,0,0.00,2.59,4.38,20.00
strict-msa,1.00,2.00,0.80,0.40,2160,502,1180.60,1982,0,0.00,0,0.08,2.62,4.35,0.00
strict-msa,1.00,2.00,0.80,0.10,2160,180,1022.90,2036,0,0.00,0,0.00,2.72,4.38,10.00
strict-msa,1.00,2.00,0.80,0.20,2160,326,1206.20,1866,0,0.00,0,0.08,3.06,4.38,0.00
strict-msa,1.00,2.00,0.80,0.50,2160,440,1129.10,2057,0,0.00,0,0.00,3.35,4.46,10.00
