Threshold,High CMSA edges,High CMSA precision [%],High CMSA recall [%],High CMSA lift,Cycle-cover high-CMSA edges,Cycle-cover high-CMSA precision [%],Cycle-cover high-CMSA recall [%],Cycle-cover high-CMSA lift,High-CMSA edges removed by cycle cover,High-CMSA found-optimal edges removed by cycle cover,Precision gain from cycle cover,Recall loss from cycle cover,Cycle-cover share of high-CMSA edges [%],Cycle-cover share of high-CMSA found-optimal edges [%]
0.100000,130,0.00,0.00,0.000000,10,0.00,0.00,0.000000,120,0,0.000000,0.000000,7.69,0.00
0.200000,130,0.00,0.00,0.000000,10,0.00,0.00,0.000000,120,0,0.000000,0.000000,7.69,0.00
0.300000,128,0.00,0.00,0.000000,10,0.00,0.00,0.000000,118,0,0.000000,0.000000,7.81,0.00
0.400000,126,0.00,0.00,0.000000,10,0.00,0.00,0.000000,116,0,0.000000,0.000000,7.94,0.00
0.500000,125,0.00,0.00,0.000000,10,0.00,0.00,0.000000,115,0,0.000000,0.000000,8.00,0.00
0.600000,124,0.00,0.00,0.000000,10,0.00,0.00,0.000000,114,0,0.000000,0.000000,8.06,0.00
0.700000,122,0.00,0.00,0.000000,10,0.00,0.00,0.000000,112,0,0.000000,0.000000,8.20,0.00
0.800000,120,0.00,0.00,0.000000,10,0.00,0.00,0.000000,110,0,0.000000,0.000000,8.33,0.00
0.900000,120,0.00,0.00,0.000000,10,0.00,0.00,0.000000,110,0,0.000000,0.000000,8.33,0.00
1.000000,108,0.00,0.00,0.000000,9,0.00,0.00,0.000000,99,0,0.000000,0.000000,8.33,0.00
