Heuristic,Alpha,Beta,Rho,Heuristic weight,Iterations,Min best at iteration,Avg best at iteration,Max best at iteration,Min local search improvements,Avg local search improvements,Max local search improvements,Min best deviation,Avg best deviation,Max best deviation,Success rate [%]
msa-heuristic,1.00,2.00,0.80,0.50,1950,238,589.50,1842,0,0.00,0,0.00,0.36,0.92,50.00
msa-heuristic,1.00,2.00,0.80,0.90,1950,110,1000.50,1713,0,0.00,0,0.00,0.38,0.92,40.00
msa-heuristic,1.00,2.00,0.80,0.40,1950,185,818.10,1815,0,0.00,0,0.00,0.44,1.03,50.00
msa-heuristic,1.00,2.00,0.80,0.70,1950,133,1048.60,1777,0,0.00,0,0.00,0.65,5.11,80.00
msa-heuristic,1.00,2.00,0.80,0.80,1950,103,877.00,1910,0,0.00,0,0.00,0.90,4.95,40.00
msa-heuristic,1.00,2.00,0.80,0.10,1950,188,550.50,1606,0,0.00,0,0.00,0.91,3.32,20.00
msa-heuristic,1.00,2.00,0.80,1.00,1950,90,572.00,1155,0,0.00,0,0.00,0.92,2.61,20.00
msa-heuristic,1.00,2.00,0.80,0.30,1950,26,705.50,1940,0,0.00,0,0.00,1.13,3.32,10.00
msa-heuristic,1.00,2.00,0.80,0.20,1950,87,419.20,1112,0,0.00,0,0.00,1.39,4.89,60.00
msa-heuristic,1.00,2.00,0.80,0.60,1950,166,917.90,1833,0,0.00,0,0.00,1.52,4.89,10.00
baseline,1.00,2.00,0.80,0.00,1950,52,579.20,1327,0,0.00,0,0.38,1.54,4.68,0.00
